Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Ethereum Cali DAO,GG17 Beta Web3 Community & Education,Apr 2023,"84,472.39",$301.62
Fork DAO,GG17 Beta Web3 Community & Education,Apr 2023,"82,229.90",$290.00
L2 en Español,GG17 Beta Web3 Community & Education,Apr 2023,"81,987.91",$284.93
Empowering Ethereum Tegucigalpa,GG17 Beta Web3 Community & Education,Apr 2023,"81,987.91",$284.92
Espacio Cripto,GG17 Beta Web3 Community & Education,Apr 2023,"81,987.91",$277.96
EUCI - European Crypto Initiative - educating policy makers on decentralization,GG17 Beta Web3 Community & Education,Apr 2023,"79,503.43",$266.78
Ethereum Bolivia,GG17 Beta Web3 Community & Education,Apr 2023,"79,503.43",$260.25
ENS DAO Newsletter,GG17 Beta Web3 Community & Education,Apr 2023,"79,503.43",$259.77
ResearchHub Foundation - SciCon 2023,GG17 Beta Web3 Community & Education,Apr 2023,"77,515.84",$255.24
ETH Tricolor ETH Ecuador,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$246.19
Ethereum San Pedro Sula,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$225.80
The Neptune Project,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$222.36
Colledge: A open and free web3 academy for Latin America,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$211.34
Natives in Tech,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$206.43
Ethereum La Ceiba,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$198.54
Cryptoversidad,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$196.59
EthCartagena,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$196.27
ODTU Blockchain,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$180.52
MetaFest,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$164.76
Alysia Tech,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$154.48
Rehash,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$153.44
Impact DAOs Research + Podcast + Book : Impact DAO Media Season 2 ,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$149.55
Crypto Fundraising,GG17 Beta Web3 Community & Education,Apr 2023,"75,490.00",$148.86
Solarpunk Generation,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$137.85
Bankless Brasil DAO,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$136.16
Layer2News,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$118.63
Blockchain at the School: Web3 Education for Brazil’s Public School Students,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$118.04
CryptoConexión,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$112.30
DefiArgentina,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$111.09
Give the Gift of Education to Children in Poverty,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$106.03
The Follow Black Hare,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$103.55
ATX DAO,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$99.83
500K by 2030,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$96.92
L2 Planet,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$94.00
Proof of Volunteer Protocol (POVP),GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$92.89
Decentalized Science NYC (DeSciNYC),GG17 Beta Web3 Community & Education,Apr 2023,"73,252.54",$90.42
Kairos Research ,GG17 Beta Web3 Community & Education,Apr 2023,"72,511.10",$88.44
Ayaversity,GG17 Beta Web3 Community & Education,Apr 2023,"72,049.98",$85.52
DeSci Africa,GG17 Beta Web3 Community & Education,Apr 2023,"69,565.50",$81.86
DeFi & Web3 Developer Roadmap,GG17 Beta Web3 Community & Education,Apr 2023,"69,565.50",$79.38
DeVox,GG17 Beta Web3 Community & Education,Apr 2023,"69,565.50",$77.08
EIPs Fun,GG17 Beta Web3 Community & Education,Apr 2023,"67,081.02",$75.45
Fractal Visions,GG17 Beta Web3 Community & Education,Apr 2023,"66,145.36",$74.52
Cryptocurrency Jobs,GG17 Beta Web3 Community & Education,Apr 2023,"65,585.86",$73.60
DeSci LATAM,GG17 Beta Web3 Community & Education,Apr 2023,"65,585.86",$71.94
Web3TalentFair,GG17 Beta Web3 Community & Education,Apr 2023,"65,585.86",$68.27
DAOPlanet.org,GG17 Beta Web3 Community & Education,Apr 2023,"64,596.53",$62.39
Women Biz Education Program,GG17 Beta Web3 Community & Education,Apr 2023,"64,596.53",$58.18
Know the Blocks Maven,GG17 Beta Web3 Community & Education,Apr 2023,"64,596.53",$55.80
Let's demystify crypto and web3 in Africa,GG17 Beta Web3 Community & Education,Apr 2023,"63,335.41",$54.16
Women In DeFi ,GG17 Beta Web3 Community & Education,Apr 2023,"62,608.95",$53.18
Neurodiversity Foundation: Donate to our Projects,GG17 Beta Web3 Community & Education,Apr 2023,"62,112.05",$51.37
DAO Governance Collective,GG17 Beta Web3 Community & Education,Apr 2023,"62,112.05",$49.72
ARTXV,GG17 Beta Web3 Community & Education,Apr 2023,"62,112.05",$49.56
Bonding Curves Research Group,GG17 Beta Web3 Community & Education,Apr 2023,"61,771.18",$46.59
Pablito.eth,GG17 Beta Web3 Community & Education,Apr 2023,"60,616.89",$43.40
NFTs Arte L:atino (NALA),GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$42.69
"Book - Women of DeSci, ReFi, ReSci & DeFi",GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$40.44
TBC Paid Open Source,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$40.37
cp0x,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$37.94
Lunapark Web3 Hub,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$33.39
Today in DeFi,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$31.67
Blacks on Blockchain,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$27.71
Actocracy,GG17 Beta Web3 Community & Education,Apr 2023,"58,674.52",$27.57
Satoshi Succulents,GG17 Beta Web3 Community & Education,Apr 2023,"58,132.41",$27.25
Crypto Babes Club,GG17 Beta Web3 Community & Education,Apr 2023,"57,218.12",$27.07
Auradogs,GG17 Beta Web3 Community & Education,Apr 2023,"57,143.09",$26.55
Web3DC,GG17 Beta Web3 Community & Education,Apr 2023,"56,637.25",$25.47
Asilo Digital,GG17 Beta Web3 Community & Education,Apr 2023,"56,038.49",$25.19
0xEdu - The first decentralized K-12 curriculum and school,GG17 Beta Web3 Community & Education,Apr 2023,"55,430.78",$24.34
The DAOist and DAOCON in Paris,GG17 Beta Web3 Community & Education,Apr 2023,"54,658.61",$23.77
DeFinomics Labs,GG17 Beta Web3 Community & Education,Apr 2023,"54,658.61",$23.24
