Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Militereum,GG19 Cluster QF Open Source Software,Nov 2023,500,$405.42
lazy-etherscan,GG19 Cluster QF Open Source Software,Nov 2023,"150,000",$403.29
ethOS - Web3 needs an OS,GG19 Cluster QF Open Source Software,Nov 2023,"149,000",$397.05
WalletLabels,GG19 Cluster QF Open Source Software,Nov 2023,"112,000",$383.64
OpenCann Network,GG19 Cluster QF Open Source Software,Nov 2023,"40,000",$380.15
Eppie: Web3 native email,GG19 Cluster QF Open Source Software,Nov 2023,"90,000",$375.33
ETHRank - The open source achievement system for every Ethereum address,GG19 Cluster QF Open Source Software,Nov 2023,"150,000",$374.16
ChainTrack,GG19 Cluster QF Open Source Software,Nov 2023,"30,000",$371.78
Flexible Voting,GG19 Cluster QF Open Source Software,Nov 2023,"140,000",$366.97
Lakat 📜,GG19 Cluster QF Open Source Software,Nov 2023,"60,000",$350.74
mLayer Protocol,GG19 Cluster QF Open Source Software,Nov 2023,"10,000",$350.68
FundPG,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$342.05
Gov4Git: Decentralized governance for git communities,GG19 Cluster QF Open Source Software,Nov 2023,"100,000",$340.13
Ancient Beast,GG19 Cluster QF Open Source Software,Nov 2023,"70,395",$309.79
StreamETH,GG19 Cluster QF Open Source Software,Nov 2023,"4,000",$304.63
Geo Web,GG19 Cluster QF Open Source Software,Nov 2023,"15,761",$300.80
Hildr,GG19 Cluster QF Open Source Software,Nov 2023,"15,720",$293.23
Lume Web: Redefining the Open Web,GG19 Cluster QF Open Source Software,Nov 2023,"45,600",$287.21
Rantom,GG19 Cluster QF Open Source Software,Nov 2023,"55,000",$284.60
Mississippi,GG19 Cluster QF Open Source Software,Nov 2023,"5,800",$282.54
UNIT,GG19 Cluster QF Open Source Software,Nov 2023,"34,000",$282.17
1W3,GG19 Cluster QF Open Source Software,Nov 2023,"8,000",$281.11
Breadchain Cooperative,GG19 Cluster QF Open Source Software,Nov 2023,"10,000",$273.35
DexKit,GG19 Cluster QF Open Source Software,Nov 2023,"95,000",$271.21
Wildcards Protocol,GG19 Cluster QF Open Source Software,Nov 2023,"112,000",$270.55
Protocol Fundamentals,GG19 Cluster QF Open Source Software,Nov 2023,"95,000",$268.11
zenbit.eth,GG19 Cluster QF Open Source Software,Nov 2023,"67,500",$267.63
Pin Save: decentralized Pinterest,GG19 Cluster QF Open Source Software,Nov 2023,"350,000",$259.04
Plebbit,GG19 Cluster QF Open Source Software,Nov 2023,"650,000",$253.78
L2Insights,GG19 Cluster QF Open Source Software,Nov 2023,"85,000",$253.56
Influenpeer,GG19 Cluster QF Open Source Software,Nov 2023,4000,$244.53
DApilink,GG19 Cluster QF Open Source Software,Nov 2023,50000,$240.54
The Forus,GG19 Cluster QF Open Source Software,Nov 2023,40000,$232.92
ICDevs.org,GG19 Cluster QF Open Source Software,Nov 2023,44500,$232.84
GasLockR,GG19 Cluster QF Open Source Software,Nov 2023,40000,$224.90
StatelessArt,GG19 Cluster QF Open Source Software,Nov 2023,10000,$224.06
EIP-7265 Alliance - securing the future of ethereum,GG19 Cluster QF Open Source Software,Nov 2023,35000,$222.16
Accountjs,GG19 Cluster QF Open Source Software,Nov 2023,40000,$221.31
LunCo - collaborative engineering,GG19 Cluster QF Open Source Software,Nov 2023,25000,$219.89
"Hannah, Justin, & Jake Decentralize Ethereum: Asymmetry Finance",GG19 Cluster QF Open Source Software,Nov 2023,20000,$218.46
VueDapp,GG19 Cluster QF Open Source Software,Nov 2023,50000,$214.17
Scribe,GG19 Cluster QF Open Source Software,Nov 2023,35000,$213.19
Grateful,GG19 Cluster QF Open Source Software,Nov 2023,38800,$200.97
JiffyScan - The UserOp Explorer for 4337,GG19 Cluster QF Open Source Software,Nov 2023,50000,$193.74
Augmenting the ReFi Knowledge Graph with AI,GG19 Cluster QF Open Source Software,Nov 2023,20000,$191.87
Impact Markets,GG19 Cluster QF Open Source Software,Nov 2023,25000,$186.63
Codingsh Open Source Developer,GG19 Cluster QF Open Source Software,Nov 2023,32123,$182.58
Public Ads - Quadratic Attention Payments Mechanism,GG19 Cluster QF Open Source Software,Nov 2023,30000,$179.54
HonorCode,GG19 Cluster QF Open Source Software,Nov 2023,150000,$176.06
Kredeum NFTs Factory,GG19 Cluster QF Open Source Software,Nov 2023,100000,$169.97
Amphitheatre for Arbitrum,GG19 Cluster QF Open Source Software,Nov 2023,60000,$156.68
Wallet Test Framework,GG19 Cluster QF Open Source Software,Nov 2023,150000,$145.18
OTHub.io,GG19 Cluster QF Open Source Software,Nov 2023,5000,$137.81
Sprintcheckout,GG19 Cluster QF Open Source Software,Nov 2023,100000,$136.37
NacDB Distributed Database,GG19 Cluster QF Open Source Software,Nov 2023,150000,$135.98
AikiSend,GG19 Cluster QF Open Source Software,Nov 2023,35000,$127.50
Saturn Observatory,GG19 Cluster QF Open Source Software,Nov 2023,45000,$123.53
IXily,GG19 Cluster QF Open Source Software,Nov 2023,75000,$123.28
Saturn Moonlet,GG19 Cluster QF Open Source Software,Nov 2023,60000,$122.95
PotLock,GG19 Cluster QF Open Source Software,Nov 2023,250000,$105.36
