Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Aestus MEV Relay,Epoch 5,16 July -> 28 October 2024,12.99,"$31,931.09"
Hypercerts,Epoch 5,16 July -> 28 October 2024,12.22,"$30,021.42"
Open Source Observer,Epoch 5,16 July -> 28 October 2024,11.70,"$28,750.76"
Funding the Commons,Epoch 5,16 July -> 28 October 2024,9.68,"$23,791.02"
B<>rder/ess Developers,Epoch 5,16 July -> 28 October 2024,9.16,"$22,522.82"
LottoPGF,Epoch 5,16 July -> 28 October 2024,8.84,"$21,731.43"
Doots Podcast,Epoch 5,16 July -> 28 October 2024,7.86,"$19,322.83"
Praise,Epoch 5,16 July -> 28 October 2024,7.36,"$18,096.41"
🏰 BuidlGuidl,Epoch 5,16 July -> 28 October 2024,7.30,"$17,944.03"
Pairwise,Epoch 5,16 July -> 28 October 2024,7.01,"$17,231.29"
Web3.js,Epoch 5,16 July -> 28 October 2024,6.14,"$15,080.75"
PizzaDAO,Epoch 5,16 July -> 28 October 2024,6.18,"$15,179.06"
EthStaker,Epoch 5,16 July -> 28 October 2024,5.57,"$13,684.75"
Dappnode,Epoch 5,16 July -> 28 October 2024,5.57,"$13,684.75"
Web3.py,Epoch 5,16 July -> 28 October 2024,5.19,"$12,765.55"
Regens Unite,Epoch 5,16 July -> 28 October 2024,4.18,"$10,261.11"
EcoSynthesisX,Epoch 5,16 July -> 28 October 2024,2.84,"$6,972.64"
MetaGov,Epoch 5,16 July -> 28 October 2024,2.45,"$6,011.66"
DeSci LATAM,Epoch 5,16 July -> 28 October 2024,1.97,"$4,836.85"
Kiwi News,Epoch 5,16 July -> 28 October 2024,1.75,"$4,301.06"
Gravity DAO,Epoch 5,16 July -> 28 October 2024,1.25,"$3,062.36"
Gardens,Epoch 5,16 July -> 28 October 2024,1.16,"$2,850.99"
wagmi,Public Goods Large Grants 1,Jun 2023,"62,838.16","$50,000.00"
SheFi,Public Goods Large Grants 1,Jun 2023,"62,648.76","$50,000.00"
Token Engineering Commons & Token Academy,Public Goods Large Grants 1,Jun 2023,"61,332.92","$50,000.00"
DAOstar & Metagov Grant Innovation Grant,Public Goods Large Grants 2,"Oct - Dec, 2023","60,038.39","$40,000.00"
EIP-7212 Development and Advocating by Clave,Public Goods Large Grants 2,"Oct - Dec, 2023","58,260.33","$35,000.00"
Ethereum Follow Protocol,Public Goods Large Grants 2,"Oct - Dec, 2023","58,180.59","$50,000.00"
Gashawk,Public Goods Large Grants 2,"Oct - Dec, 2023","58,066.79","$50,000.00"
Revoke.cash,Public Goods Large Grants 2,"Oct - Dec, 2023","57,564.71","$50,000.00"
Rotki,Public Goods Large Grants 2,"Oct - Dec, 2023","56,339.40","$50,000.00"
Smooth: Dappnode’s MEV Smoothing Pool,Public Goods Large Grants 2,"Oct - Dec, 2023","55,061.82","$25,000.00"
Scaffold-ETH 2,Public Goods Large Grants 3,"Jun - Dec, 2024","54,551.25","$45,000.00"
Urbe Campus,Public Goods Large Grants 3,"Jun - Dec, 2024","52,240.79","$40,000.00"
Rotki,Public Goods Large Grants 3,"Jun - Dec, 2024","52,154.24","$25,000.00"
Firefly,Public Goods Large Grants 3,"Jun - Dec, 2024","51,001.26","$50,000.00"
Gashawk,Public Goods Large Grants 3,"Jun - Dec, 2024","49,979.68","$40,000.00"
Borderless Africa,Public Goods Large Grants 3,"Jun - Dec, 2024","48,486.28","$50,000.00"
Onboarding and training LATAM developers,Public Goods Large Grants 3,"Jun - Dec, 2024","48,081.33","$32,000.00"
