Optimism Geth Workshop,Wave/Round,Term,Amount (Token),Amount (USD)
VoiceDeck: A Marketplace for Journalism Impact Certificates,GG17 Beta Web3 Community & Education,Apr 2023,"133,449.98","$1,885.24"
LexDAO,GG17 Beta Web3 Community & Education,Apr 2023,"129,193.07","$1,841.88"
Unitap,GG17 Beta Web3 Community & Education,Apr 2023,"127,914.06","$1,818.99"
Week in Ethereum News,GG17 Beta Web3 Community & Education,Apr 2023,"124,224.11","$1,732.55"
Ethereum Lima,GG17 Beta Web3 Community & Education,Apr 2023,"124,224.11","$1,700.13"
Regens Unite: Building bridges between web3 and local regens,GG17 Beta Web3 Community & Education,Apr 2023,"124,224.11","$1,665.94"
HER LATAM,GG17 Beta Web3 Community & Education,Apr 2023,"123,541.37","$1,622.49"
Upgrading Ethereum Book,GG17 Beta Web3 Community & Education,Apr 2023,"121,739.62","$1,611.85"
H.E.R. DAO ,GG17 Beta Web3 Community & Education,Apr 2023,"115,058.35","$1,594.31"
Crypto Altruism – Accessible Web3 Education for Nonprofits and Changemakers,GG17 Beta Web3 Community & Education,Apr 2023,"114,285.18","$1,557.89"
登链社区(Upchain),GG17 Beta Web3 Community & Education,Apr 2023,"109,317.21","$1,478.59"
Proof of Integrity,GG17 Beta Web3 Community & Education,Apr 2023,"104,348.25","$1,440.43"
CreatorDAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,876.18","$1,420.02"
